subs_id,family_group
100700.0,FAM_4
100707.0,FAM_4
100709.0,FAM_4
100716.0,FAM_4
133493.0,FAM_4
133504.0,FAM_4
100739.0,FAM_4
133508.0,FAM_4
133512.0,FAM_4
133514.0,FAM_4
100751.0,FAM_4
133521.0,FAM_4
100760.0,FAM_4
133538.0,FAM_4
133543.0,FAM_4
133545.0,FAM_4
100778.0,FAM_4
133548.0,FAM_4
133551.0,FAM_4
133555.0,FAM_4
100788.0,FAM_4
133563.0,FAM_4
100800.0,FAM_4
100801.0,FAM_4
100803.0,FAM_4
133575.0,FAM_4
100808.0,FAM_4
133577.0,FAM_4
133576.0,FAM_4
133581.0,FAM_4
100814.0,FAM_4
100817.0,FAM_4
100826.0,FAM_4
100829.0,FAM_4
133598.0,FAM_4
133608.0,FAM_4
133610.0,FAM_4
133612.0,FAM_4
133618.0,FAM_4
100858.0,FAM_4
133633.0,FAM_4
133637.0,FAM_4
100881.0,FAM_4
100885.0,FAM_4
100887.0,FAM_4
133658.0,FAM_4
133659.0,FAM_4
133661.0,FAM_4
100895.0,FAM_4
133671.0,FAM_4
133678.0,FAM_4
100911.0,FAM_4
133681.0,FAM_4
100915.0,FAM_4
133693.0,FAM_4
100927.0,FAM_4
133698.0,FAM_4
100933.0,FAM_4
133701.0,FAM_4
133713.0,FAM_4
100947.0,FAM_4
100961.0,FAM_4
100963.0,FAM_4
100970.0,FAM_4
133742.0,FAM_4
133747.0,FAM_4
133751.0,FAM_4
100989.0,FAM_4
133761.0,FAM_4
100995.0,FAM_4
100997.0,FAM_4
100998.0,FAM_4
101006.0,FAM_4
101011.0,FAM_4
101013.0,FAM_4
101014.0,FAM_4
133784.0,FAM_4
101017.0,FAM_4
133786.0,FAM_4
133791.0,FAM_4
101027.0,FAM_4
133803.0,FAM_4
101038.0,FAM_4
133807.0,FAM_4
101040.0,FAM_4
101044.0,FAM_4
101048.0,FAM_4
101052.0,FAM_4
101056.0,FAM_4
133826.0,FAM_4
133827.0,FAM_4
101060.0,FAM_4
133830.0,FAM_4
101066.0,FAM_4
101071.0,FAM_4
101072.0,FAM_4
133841.0,FAM_4
133850.0,FAM_4
133853.0,FAM_4
101086.0,FAM_4
101085.0,FAM_4
133860.0,FAM_4
133861.0,FAM_4
101097.0,FAM_4
133865.0,FAM_4
133870.0,FAM_4
133871.0,FAM_4
133879.0,FAM_4
101117.0,FAM_4
133887.0,FAM_4
133897.0,FAM_4
133898.0,FAM_4
101130.0,FAM_4
133901.0,FAM_4
101146.0,FAM_4
133915.0,FAM_4
101154.0,FAM_4
101157.0,FAM_4
133933.0,FAM_4
133939.0,FAM_4
133946.0,FAM_4
133947.0,FAM_4
133950.0,FAM_4
133955.0,FAM_4
133962.0,FAM_4
101196.0,FAM_4
101199.0,FAM_4
101208.0,FAM_4
101212.0,FAM_4
133982.0,FAM_4
133983.0,FAM_4
133984.0,FAM_4
101216.0,FAM_4
133987.0,FAM_4
133991.0,FAM_4
133993.0,FAM_4
134000.0,FAM_4
134012.0,FAM_4
101244.0,FAM_4
101247.0,FAM_4
134020.0,FAM_4
134024.0,FAM_4
101257.0,FAM_4
101262.0,FAM_4
134033.0,FAM_4
101268.0,FAM_4
101274.0,FAM_4
101277.0,FAM_4
101284.0,FAM_4
101287.0,FAM_4
134055.0,FAM_4
101293.0,FAM_4
101294.0,FAM_4
101297.0,FAM_4
134072.0,FAM_4
101309.0,FAM_4
101310.0,FAM_4
101313.0,FAM_4
101314.0,FAM_4
134083.0,FAM_4
134090.0,FAM_4
134093.0,FAM_4
101327.0,FAM_4
134098.0,FAM_4
134100.0,FAM_4
134103.0,FAM_4
101337.0,FAM_4
134112.0,FAM_4
101345.0,FAM_4
134121.0,FAM_4
134122.0,FAM_4
134130.0,FAM_4
101363.0,FAM_4
134133.0,FAM_4
134136.0,FAM_4
134137.0,FAM_4
134141.0,FAM_4
101375.0,FAM_4
101377.0,FAM_4
101392.0,FAM_4
134161.0,FAM_4
101400.0,FAM_4
101411.0,FAM_4
101412.0,FAM_4
101424.0,FAM_4
134194.0,FAM_4
134198.0,FAM_4
134201.0,FAM_4
134205.0,FAM_4
101439.0,FAM_4
101442.0,FAM_4
134220.0,FAM_4
101456.0,FAM_4
101457.0,FAM_4
134224.0,FAM_4
101460.0,FAM_4
101462.0,FAM_4
101466.0,FAM_4
134235.0,FAM_4
101476.0,FAM_4
134251.0,FAM_4
101485.0,FAM_4
134253.0,FAM_4
101502.0,FAM_4
101503.0,FAM_4
101505.0,FAM_4
101515.0,FAM_4
134287.0,FAM_4
134290.0,FAM_4
134293.0,FAM_4
101526.0,FAM_4
101527.0,FAM_4
134296.0,FAM_4
134298.0,FAM_4
101530.0,FAM_4
101538.0,FAM_4
134309.0,FAM_4
101544.0,FAM_4
134316.0,FAM_4
134320.0,FAM_4
134324.0,FAM_4
134328.0,FAM_4
101562.0,FAM_4
134332.0,FAM_4
134342.0,FAM_4
101583.0,FAM_4
134352.0,FAM_4
134354.0,FAM_4
101586.0,FAM_4
134372.0,FAM_4
101613.0,FAM_4
101615.0,FAM_4
101617.0,FAM_4
101622.0,FAM_4
101625.0,FAM_4
101626.0,FAM_4
101633.0,FAM_4
101640.0,FAM_4
134409.0,FAM_4
134414.0,FAM_4
101653.0,FAM_4
134422.0,FAM_4
134428.0,FAM_4
134429.0,FAM_4
101663.0,FAM_4
101664.0,FAM_4
134438.0,FAM_4
101671.0,FAM_4
134440.0,FAM_4
134449.0,FAM_4
101682.0,FAM_4
101683.0,FAM_4
134454.0,FAM_4
101690.0,FAM_4
134459.0,FAM_4
134458.0,FAM_4
101692.0,FAM_4
134463.0,FAM_4
134465.0,FAM_4
134475.0,FAM_4
134488.0,FAM_4
101728.0,FAM_4
134500.0,FAM_4
101732.0,FAM_4
134502.0,FAM_4
134505.0,FAM_4
101741.0,FAM_4
134513.0,FAM_4
101748.0,FAM_4
101755.0,FAM_4
134528.0,FAM_4
101763.0,FAM_4
134534.0,FAM_4
101766.0,FAM_4
101771.0,FAM_4
101772.0,FAM_4
101785.0,FAM_4
134554.0,FAM_4
134557.0,FAM_4
101791.0,FAM_4
101798.0,FAM_4
134571.0,FAM_4
101810.0,FAM_4
101811.0,FAM_4
134584.0,FAM_4
101817.0,FAM_4
101819.0,FAM_4
101821.0,FAM_4
101822.0,FAM_4
134592.0,FAM_4
101826.0,FAM_4
134595.0,FAM_4
101831.0,FAM_4
101834.0,FAM_4
134604.0,FAM_4
134606.0,FAM_4
134607.0,FAM_4
101843.0,FAM_4
134617.0,FAM_4
101853.0,FAM_4
101865.0,FAM_4
134633.0,FAM_4
134638.0,FAM_4
134645.0,FAM_4
134646.0,FAM_4
134647.0,FAM_4
134653.0,FAM_4
101888.0,FAM_4
134656.0,FAM_4
134657.0,FAM_4
101896.0,FAM_4
134678.0,FAM_4
134679.0,FAM_4
101915.0,FAM_4
101922.0,FAM_4
101929.0,FAM_4
134697.0,FAM_4
101934.0,FAM_4
134711.0,FAM_4
101946.0,FAM_4
101948.0,FAM_4
101950.0,FAM_4
134722.0,FAM_4
134726.0,FAM_4
134728.0,FAM_4
134730.0,FAM_4
134731.0,FAM_4
134733.0,FAM_4
134737.0,FAM_4
134739.0,FAM_4
134741.0,FAM_4
101974.0,FAM_4
101977.0,FAM_4
134752.0,FAM_4
101999.0,FAM_4
102005.0,FAM_4
134778.0,FAM_4
102012.0,FAM_4
134782.0,FAM_4
102017.0,FAM_4
102018.0,FAM_4
134786.0,FAM_4
102031.0,FAM_4
134800.0,FAM_4
134801.0,FAM_4
102039.0,FAM_4
134811.0,FAM_4
102053.0,FAM_4
102057.0,FAM_4
102058.0,FAM_4
134831.0,FAM_4
102066.0,FAM_4
102069.0,FAM_4
134837.0,FAM_4
102071.0,FAM_4
102070.0,FAM_4
102078.0,FAM_4
102080.0,FAM_4
134849.0,FAM_4
102091.0,FAM_4
134869.0,FAM_4
102107.0,FAM_4
134877.0,FAM_4
102110.0,FAM_4
134879.0,FAM_4
102117.0,FAM_4
134886.0,FAM_4
134889.0,FAM_4
102128.0,FAM_4
134896.0,FAM_4
102130.0,FAM_4
134900.0,FAM_4
102149.0,FAM_4
102175.0,FAM_4
102176.0,FAM_4
102186.0,FAM_4
134959.0,FAM_4
102197.0,FAM_4
134968.0,FAM_4
102202.0,FAM_4
102207.0,FAM_4
102214.0,FAM_4
102217.0,FAM_4
134988.0,FAM_4
102223.0,FAM_4
102224.0,FAM_4
134994.0,FAM_4
135000.0,FAM_4
135002.0,FAM_4
102246.0,FAM_4
135019.0,FAM_4
102254.0,FAM_4
135026.0,FAM_4
102258.0,FAM_4
135029.0,FAM_4
102269.0,FAM_4
135038.0,FAM_4
102289.0,FAM_4
102291.0,FAM_4
102292.0,FAM_4
102298.0,FAM_4
135070.0,FAM_4
135074.0,FAM_4
102307.0,FAM_4
135076.0,FAM_4
135090.0,FAM_4
135097.0,FAM_4
102330.0,FAM_4
102338.0,FAM_4
135124.0,FAM_4
102357.0,FAM_4
135126.0,FAM_4
102361.0,FAM_4
102362.0,FAM_4
102364.0,FAM_4
102365.0,FAM_4
135134.0,FAM_4
102375.0,FAM_4
102379.0,FAM_4
135149.0,FAM_4
135153.0,FAM_4
102387.0,FAM_4
135155.0,FAM_4
135157.0,FAM_4
102390.0,FAM_4
135165.0,FAM_4
102398.0,FAM_4
135172.0,FAM_4
102406.0,FAM_4
135177.0,FAM_4
102411.0,FAM_4
135186.0,FAM_4
135188.0,FAM_4
102424.0,FAM_4
135207.0,FAM_4
102440.0,FAM_4
102442.0,FAM_4
135219.0,FAM_4
135228.0,FAM_4
102461.0,FAM_4
135233.0,FAM_4
102466.0,FAM_4
135236.0,FAM_4
102469.0,FAM_4
135244.0,FAM_4
135247.0,FAM_4
135248.0,FAM_4
102480.0,FAM_4
135251.0,FAM_4
135254.0,FAM_4
102495.0,FAM_4
102497.0,FAM_4
135267.0,FAM_4
135275.0,FAM_4
102508.0,FAM_4
135282.0,FAM_4
135283.0,FAM_4
102519.0,FAM_4
135288.0,FAM_4
135289.0,FAM_4
102528.0,FAM_4
135306.0,FAM_4
102544.0,FAM_4
135314.0,FAM_4
135315.0,FAM_4
135319.0,FAM_4
135323.0,FAM_4
135324.0,FAM_4
102567.0,FAM_4
102586.0,FAM_4
135354.0,FAM_4
135357.0,FAM_4
135366.0,FAM_4
135376.0,FAM_4
135379.0,FAM_4
135383.0,FAM_4
135392.0,FAM_4
135396.0,FAM_4
102632.0,FAM_4
135401.0,FAM_4
102635.0,FAM_4
135405.0,FAM_4
135409.0,FAM_4
135411.0,FAM_4
102649.0,FAM_4
135446.0,FAM_4
102678.0,FAM_4
102682.0,FAM_4
135453.0,FAM_4
135458.0,FAM_4
135464.0,FAM_4
102697.0,FAM_4
135481.0,FAM_4
102715.0,FAM_4
135483.0,FAM_4
102720.0,FAM_4
102722.0,FAM_4
135495.0,FAM_4
102728.0,FAM_4
102727.0,FAM_4
102735.0,FAM_4
135511.0,FAM_4
102743.0,FAM_4
102747.0,FAM_4
135518.0,FAM_4
102756.0,FAM_4
102760.0,FAM_4
135530.0,FAM_4
135531.0,FAM_4
135532.0,FAM_4
